priority,reason,stat_template,modifier_names,glove_classes,pool_types,current_status,isolated_sample_count,likely_sample_count,sample_ids,suggested_action
1,Missing explicit input sample,#% chance for Attack Hits to apply Incision,of Ulaman,"dex_int, int, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% chance to Daze on Hit,of Amanamu,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% chance to Gain Arcane Surge when you deal a Critical Hit,of Kurgal,"dex_int, int, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased Area of Effect of Curses,of Amanamu,"dex, dex_int, str_dex",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased Cast Speed when on Full Life,of Kurgal,"dex_int, int, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased Energy Shield Recharge Rate,of Buffering,"dex_int, int, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased Immobilisation buildup,of Amanamu,"dex, dex_int, str_dex",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased Magnitude of Ailments you inflict,of Ulaman,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased Mana Cost Efficiency,of Kurgal,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased Skill Speed if you've consumed a Frenzy Charge Recently,of Ulaman,"dex_int, int, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased chance to Poison,of Ulaman,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,#% increased chance to inflict Bleeding,of Ulaman,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,+# to Armour | +# to Evasion Rating,"Durable, Flexible, Pliant, Supple",str_dex,explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,+# to Dexterity and Intelligence,of Kurgal,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,+# to Strength and Dexterity,of Ulaman,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,+# to Strength and Intelligence,of Amanamu,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
1,Missing explicit input sample,+#% to Fire and Chaos Resistances,of Amanamu,"dex, dex_int, int, str, str_dex, str_int",explicit,missing_input_sample,0,0,,"Find and capture this modifier as an input glove mod, ideally isolated on a magic item."
2,Likely mapping needs isolated confirmation,#% increased Armour,"Buttressed, CorruptionLocalIncreasedPhysicalDamageReductionRatingPercent1, Girded, Impregnable, Layered, Lobstered, Reinforced, Thickened",str,"corrupted_enchantment, explicit",likely_mapping,0,1,STONEFIST-0073,Capture an isolated sample to confirm this likely mapping.
